title,id,subCount,videoCount,viewCount,vidTitle,vidid,date,likes,dislikes,vid_views,vid_duration,vid_caption,likeRatio,startYear,startMonth,endYear,endMonth,interestChange,goodYoutuber,duration,Weighted_Sentiments
Trevor Ritchie,UCv2NRxQGar_wLS30AcKQWjQ,16000.0,267.0,1812851.0,Estee Lauder Advanced Night Repair Skin Care Routine Review - Is high end skin care worth it?,ZAIs4K0ESSc,2020-12-18,383.0,10.0,17101.0,PT13M24S,True,0.9745547073791349,2020,12,2021,1,88.52999999999987,1,804,3.6771902834134886
Doctor Anne,UCEjhYHT0AjCPaE4vTNfaK7A,23100.0,387.0,1298538.0,Estée Lauder Advanced Night Repair Serum Review - Is it worth the hype?,9FzV3U7YYa8,2020-02-27,1035.0,89.0,104813.0,PT3M16S,True,0.9208185053380784,2020,2,2020,3,59.46500000000003,1,196,6.288157846868394
Dr. Vanita Rattan The Hyperpigmentation Clinic,UC4u0qaMIAgOL8L37RwLcDQA,352000.0,215.0,20115984.0,"ESTEE LAUDER for Brown/black skin by DOCTOR V | Night repair, Re-Nutriv, Futurist, Night repair",qcthuXQSTW0,2020-07-01,3000.0,79.0,136387.0,PT11M28S,False,0.9743423189347192,2020,7,2020,7,-180.47000000000008,0,688,3.676717396718549
Dr Dray,UCnxmUrGMtpQT844Yd_l7Zyg,1150000.0,1685.0,150143611.0,Estee Lauder Advanced Night Repair: is it that advanced?| Dr Dray,IWkHN41FrqM,2020-05-19,7798.0,239.0,282038.0,PT17M12S,False,0.9702625357720542,2020,5,2020,6,-163.27999999999997,0,1032,2.630550538375725
Mandvi Singh,UCHX_PogTzL1eWOBY-i0Ga2Q,20100.0,141.0,1696134.0,I tried NEW Estee Lauder Advanced Night Repair Serum (3 Major Ingredient Changes) #skincare,q9vKrdopmOc,2020-11-01,656.0,20.0,26337.0,PT6M57S,False,0.970414201183432,2020,11,2020,11,15.400000000000148,1,417,4.5780731854053816
FemaleDailyNetwork,UCNUwEyuhp_pguzCTT_bctSQ,964000.0,1459.0,133565432.0,"Battle 3 Serum Mahal: Lancome, Estee Lauder, Sulwhasoo! Mana yang Lebih Oke?",w1E258QBCHs,2021-02-17,237.0,1.0,10831.0,PT11M12S,False,0.9957983193277312,2021,2,2021,3,380.49,1,672,3.6357145284306545
Nidhi Chaudhary,UCYxXLB0CSh9_5Jn2KsEkc6w,369000.0,590.0,44625216.0,Estée Lauder Double Wear Foundation Review | Estée Lauder Foundation for Indian Skin Tone | Fawn,_1b0hHHcuCI,2021-02-15,225.0,23.0,12500.0,PT14M10S,False,0.907258064516129,2021,2,2021,3,100.91500000000008,1,850,11.362959298828667
Jasmina Puri,UC2RkuSYIChVgxwSV8JoKwLQ,21000.0,201.0,2255488.0,BEST &amp; WORST OF ESTEE LAUDER | Brand Review | JASMINA PURI,dcFRMoI_SOQ,2017-08-23,1160.0,181.0,164379.0,PT27M38S,True,0.8650260999254288,2017,8,2017,9,-5.779999999999973,0,1658,16.845472421086377
Trevor Ritchie,UCv2NRxQGar_wLS30AcKQWjQ,16000.0,267.0,1812851.0,Estee Lauder Advanced Night Repair Synchronized Multi-Recovery Complex Review,BTxZDQdxKMw,2020-08-21,593.0,18.0,27648.0,PT13M36S,True,0.9705400981996728,2020,8,2020,9,-69.7349999999999,0,816,3.5764810504073328
Navi,UCOWzUJkpIVuZi8kjL6wiR-w,115000.0,158.0,10851366.0,TỨC TƯỞI VÌ SERUM 2 TRIỆU RƯỠI 😪  | Bốc mẽ sự thật về Serum phục hồi da Estee Lauder ❗❓,v5lCI_MEPuo,2020-08-03,430.0,37.0,31169.0,PT13M39S,False,0.9207708779443254,2020,8,2020,8,-33.8900000000001,0,819,3.977168331226024
Fatya Biya,UCDbbIyewL0vTSQA9YntATkQ,828000.0,648.0,93262518.0,ESTEE LAUDER DOUBLE WEAR FOUNDATION REVIEW | FATYABIYA,QXkV2zpnyQ8,2018-02-01,2170.0,88.0,161343.0,PT11M4S,False,0.9610274579273692,2018,2,2018,2,-86.23000000000002,0,664,5.590032806913339
Nova Octaviana,UCCGLb6l-QYeHBFX7mgbWHwg,2540.0,56.0,255924.0,REVIEW: ESTEE LAUDER - Advanced Night Repair SERUM || Serum anti aging bikin muka mulus Worthed!,0BoE1KT2IGk,2020-05-26,208.0,6.0,12018.0,PT6M40S,False,0.97196261682243,2020,5,2020,6,38.94500000000005,1,400,3.3563172503413603
HOWLING,UC9L0HGnefFde-ECbc4eEjXA,37200.0,148.0,3554832.0,🙌Great for Oily Skin | Estee Lauder Double Wear Foundation 3 Day Review (Including Mask application),ny9DIb0shW8,2020-06-24,591.0,19.0,26874.0,PT17M35S,False,0.9688524590163936,2020,6,2020,7,6.890000000000214,1,1055,10.76007256752959
Trevor Ritchie,UCv2NRxQGar_wLS30AcKQWjQ,16000.0,267.0,1812851.0,Estee Lauder Advanced Night Repair Review,vmz0m7tZe8Q,2019-12-18,1964.0,77.0,102057.0,PT14M22S,True,0.9622733953944144,2019,12,2020,1,-44.46999999999992,0,862,9.563332161709042
Cô Ba Nghệ Sĩ,UCSeenxwcz00H8s7QvoGpZzA,105.0,26.0,25207.0,Cô 3 review dưỡng ẩm Estee Lauder,_4cJ57IadTw,2019-12-31,54.0,6.0,18263.0,PT9M12S,False,0.9,2019,12,2020,1,371.86,1,552,2.538321167883214
STEPHANIE TOMS,UCeOYFSJpQT27y3V6faZNC2g,478000.0,710.0,56198330.0,"TESTING ESTEE LAUDER DOUBLEWEAR FOUNDATION!? FIRST IMPRESSIONS, WEAR TEST + REVIEW",aIyGViu3oJ8,2018-11-18,15161.0,799.0,1218050.0,PT13M55S,False,0.949937343358396,2018,11,2018,12,230.445,1,835,14.916389431205275
Hyram,UC2sYit3cZ2CuD_8FHYH7O_Q,4500000.0,441.0,331164861.0,SKIN CARE HAUL | This Is Wild...,ipRDTpt8znY,2017-09-21,694.0,10.0,39912.0,PT10M1S,False,0.9857954545454546,2017,9,2017,10,-18.139999999999983,0,601,2.438476148657915
Marie Jay,UC6_XmFvvma6JlkOcQVwXLaA,283000.0,515.0,29366567.0,Estee Lauder Double Wear Foundation Review + Demo,uM94EeRxoJI,2016-11-11,7383.0,589.0,1094888.0,PT13M17S,False,0.926116407425991,2016,11,2016,11,20.735000000000014,1,797,18.9676182862096
Nova Octaviana,UCCGLb6l-QYeHBFX7mgbWHwg,2540.0,56.0,255924.0,REVIEW: Estee Lauder Revitalizing Supreme+ || Moiustizer mahal apa worthed dengan manfaatnya?,yUCIjgwsRpg,2020-07-16,96.0,3.0,3345.0,PT5M47S,False,0.9696969696969696,2020,7,2020,7,-183.52,0,347,-1.304228097137273
RARA,UCjiBUVdw4rWcll2ayTL-6uw,678000.0,2386.0,140444859.0,Estee Lauder Advanced Night Repair Synchronized Recovery Complex review in detail | RARA |,njaEApzYNXg,2020-01-14,875.0,102.0,37737.0,PT18M34S,False,0.8955987717502559,2020,1,2020,1,-94.88499999999986,0,1114,0.0
shy styles,UCN0EjKm4IssTLqdX5qqyerw,1350000.0,984.0,192646533.0,Estee Lauder *MINI* foundation Review || shystyles,_FV5w6X80qg,2020-02-23,3379.0,217.0,73801.0,PT9M24S,False,0.9396551724137931,2020,2,2020,3,97.06499999999994,1,564,1.2100322996821167
Linh Trương,UCQ1iwVM_Vc7SVZdA5IuokLA,171000.0,273.0,16228951.0,"REVIEW TẤT TẦN TẬT | Các loại Serum High-end | Estee Lauder, Lancome, Dior, Sulwhasoo, Kiehls",NldaLEUrIlM,2021-01-26,681.0,24.0,35095.0,PT22M22S,False,0.9659574468085106,2021,1,2021,2,113.78499999999985,1,1342,4.306203914259062
Roxanne Latulippe,UCKETkXmIdIDJ2faHOGgxINw,4580.0,404.0,463542.0,Estée Lauder Advanced Night Repair Synchronized Recovery Complex II Review | Worth The Money?,XPtlnXBbQPw,2020-09-14,60.0,10.0,5757.0,PT12M31S,False,0.8571428571428571,2020,9,2020,9,385.40500000000014,1,751,11.628149463703881
JaZz Ruth,UCJ_rhYvPXPb6ZMZD6OQvO5A,624.0,90.0,239350.0,Estee lauder advance night repair recovery complex review,D9KjJlq2MD4,2016-04-22,107.0,22.0,36396.0,PT10M1S,True,0.8294573643410853,2016,4,2016,5,53.100000000000016,1,601,0.0
Vidhi SkinCare,UCUnXJL1AMytU4FgTpdAdNoQ,120000.0,121.0,15769953.0,Repair Your Damaged Skin|With Advanced Night Repair Serum By Estee Lauder |My Honest Review,gYA2E_SuZJY,2020-09-23,177.0,14.0,9255.0,PT7M49S,False,0.9267015706806284,2020,9,2020,10,69.625,1,469,8.733588811815567
Dadu Medical Centre,UCEQOJDwT1HlQO0Jmo-kLRrg,193000.0,573.0,12368047.0,Estee Lauder Advanced Night Repair Serum Review,W0sSfbLLYrQ,2020-07-02,230.0,15.0,11520.0,PT12M42S,False,0.9387755102040816,2020,7,2020,7,268.365,1,762,3.9294306239569554
Samapti Banerjee,UCfGCPkRVQ96abMaDyjN-YSg,37600.0,393.0,5921927.0,Estee Lauder Advanced Night Repair | Is It Worth The Hype? | In-depth Review with Demo | Anti Aging,AhX4o_aHFMk,2019-11-27,318.0,26.0,12223.0,PT7M58S,False,0.9244186046511628,2019,11,2019,12,-2.8400000000000314,0,478,2.4971151358150387
BHAWNAlicious,UCqDXHkjMmiAnYNOFbENqNRg,12900.0,507.0,1818575.0,Estee LauderAdvance Night Repair Serum|Estee Lauder|ANR 4 week challenge |Review|worth or waste?,oiFTfL9Xm2A,2019-06-12,241.0,36.0,19990.0,PT10M44S,False,0.8700361010830325,2019,6,2019,6,246.27000000000015,1,644,3.420343383413015
Lisa Monique Beauty,UCEKv34s-7qvYqOIo_8j_7bA,10200.0,147.0,468695.0,Estee Lauder Advanced Night Repair Serum Review - An Overview of an Oldie but Goodie,o_fNjwW8kIs,2020-02-22,91.0,2.0,1430.0,PT11M2S,False,0.9784946236559141,2020,2,2020,3,-164.91999999999996,0,662,5.340965905731244
Morning Mirror,UCbgIa4vyi5CRcmiwGqM6-Xw,19000.0,194.0,1244704.0,ESTEE LAUDER REVIEW| SHOULD WE BUY THE ESTEE LAUDER PRODUCTS?? TRUTH REVEALED!!!!!!,TvBzvQwTKyA,2020-09-08,79.0,4.0,2693.0,PT12M47S,False,0.9518072289156626,2020,9,2020,9,-104.66999999999985,0,767,0.6659657956476773
Pêlamgido,UCweV5WBeE-6sors0xQIv_2g,2370.0,21.0,204206.0,"#PELAMGI - REVIEW VỀ KIEHL&#39;S, ESTEE LAUDER, FRESH, VICHY, THE BODY SHOP.",5havTRLYL6M,2017-09-30,1112.0,74.0,155465.0,PT27M37S,False,0.9376053962900506,2017,9,2017,10,-250.0,0,1657,-1.970252924998524
No BS Beauty,UC7zemE5pZ5lhDeW4Fs2u74g,57000.0,1838.0,12353043.0,ESTÉE LAUDER Advanced Night Repair Synchronized Recovery Complex II Review,Ru9cjMw0Nl4,2018-09-29,304.0,21.0,22664.0,PT10M59S,False,0.9353846153846154,2018,9,2018,10,36.0150000000001,1,659,3.604177474984474
Allie Glines,UCLF42C7y73FKA8ye_5Nn-Kw,726000.0,696.0,79992451.0,NEW! ESTEE LAUDER DOUBLE WEAR NUDE WATER FRESH FOUNDATION REVIEW | ALLIE G BEAUTY,vT3zE3F35NM,2017-09-01,1422.0,29.0,68724.0,PT22M41S,False,0.9800137835975192,2017,9,2017,9,-22.539999999999967,0,1361,1.936657299962226
Soki London,UCtBpe765Fy-USxg_L8hGDPg,57400.0,595.0,9866656.0,ESTEE LAUDER CLASSIC PERFUMES REVIEW | Soki London,Vf6nnh9u31Y,2020-02-06,416.0,11.0,16855.0,PT10M1S,False,0.97423887587822,2020,2,2020,2,-31.964999999999925,0,601,5.265761065949715
Thandi Gama,UCy5PUAax-5yCavjUChWPtCw,60800.0,294.0,4683993.0,ESTEE LAUDER DOUBLE WEAR FOUNDATION Review + Wear Test | Thandi Gama,pSp0XiiyWVI,2019-10-01,3295.0,147.0,168183.0,PT27M50S,False,0.9572922719349216,2019,10,2019,10,-16.605000000000132,0,1670,3.7206140294434222
itsjudytime,UC0FK_3h0Ec2iBKJ_Ah2su7A,1280000.0,643.0,247875732.0,Estee Lauder Double Wear Foundation - first impression review - itsjudytime,71_v0SRVh4U,2013-05-13,16905.0,254.0,1206178.0,PT6M19S,True,0.9851972725683316,2013,5,2013,5,-75.44000000000017,0,379,5.364402565245004
No BS Beauty,UC7zemE5pZ5lhDeW4Fs2u74g,57000.0,1838.0,12353043.0,Estee Lauder 🆕️ Advanced Night Repair Synchronized Multi- Recovery Complex Serum Review,EUoROnPt_Jc,2020-08-15,194.0,3.0,4755.0,PT4M43S,False,0.9847715736040608,2020,8,2020,8,-159.79999999999995,0,283,2.5081658609098163
Skincare&Activewear,UCXOBzd99Vx-WVuU4VLCJkCg,339.0,2.0,184715.0,Estee Lauder- Advanced Night Repair Serum REVIEW &amp; DEMO!!,j3cOE0JguB8,2017-01-11,498.0,94.0,182948.0,PT5M27S,False,0.8412162162162162,2017,1,2017,1,119.635,1,327,2.4752806775583283
